"level_5_id","level_4_id_fk","details"
"95","95","How to apply:
To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/
and complete the online admission form as per instructions provided therein.
The online admission will be open 30th April 2020
Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in
Documents required:
Students are required to bring two photocopies (self-attested) of each of the following documents
along with the originals at the time of admission.

a. For Goa Board students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Two photocopies of Leaving Certificate.
3. Two Photographs .

b. For other Board/Universities students:
1. Two photocopies of qualifying examination mark sheets (XIIth).
2. Original as well as two photocopies of Transfer/Leaving certificate.
3. Original as well as two photocopies of Migration certificate.
4. Provisional Eligibility Certificate from Chowgule college.
5. Two Photographs .

c. For International students:
International students applying directly for admission need to submit an application to the
Principal stating their desire to seek admission along with their Passing Certificate, Transcript of
records, copy of syllabus containing details of course of studies pursued in various courses in the
examination passed by the applicant (duly countersigned by High Commissioner of India in the
country). If the student is found eligible, prima facie letter will be sent to the student for carrying
out further necessary formalities. Following documents are required to be submitted:
1. Four photocopies of qualifying examination mark sheets (XIIth).
2. Two Photographs.
3. Two photocopies of Student Visa.
4. Two photocopies of Passport.
5. Original AIDS Test Report.
6. Certificate of proficiency in English.
7. Equivalence Certificate.
8. Resident Permit and ‘C’ Form.

Once the student’s admission is confirmed, he/she is required to attend the Counselling
session organized by the faculty of the department, the date of which will be intimated to
students by the college authorities.
a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts

b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a
particular course or programme of study is 18 years and above

c)The process of selection of eligible candidates applying for such admission: Based on Merit and
Personal Counseling and Reservation Policy
"
"96","96",
"97","97","MSc in computer science"
"98","98","University fees : 630.00
Tuition fees : 87580.00
Student aid fund : 120.00
Gymkhana fund : 420.00
Laboratory fee : 5000.00
Library fee : 2000.00
Other fee : 420.00
Student activity fee : 420.00
Student service charge : 10000.00

Total : 106170.00
"
"99","99",
"100","100",
"101","101","B.Sc. (Hons.) in Zoology is a 3 year under-graduate degree program, the minimum eligibility is the 12th class in science from a recognized school board or its equivalent exam. Interested candidates can get admission to B.Sc. (Hons.) in Zoology on the premise of a candidate's performance in a relevant entrance exam, and subsequent round of counseling.

B.Sc curriculum includes core courses in:
Animal Diversity : Non Chordates
Cell and Molecular Biology / Cell Biology & Biomolecules
Diversity and Biological
Systems of Chordates
Fundamentals of Animal and Human Genetics
Human Physiology
Biochemistry and Metabolic Regulation
Developmental Biology
Wildlife Biology

The elective courses include:
Vertebrate Endocrinology
Basic Microbiology and Fundamentals of Animal Biotechnology
Environmental Toxicology
Waste Management Techniques
Animal Cell Culture and Applications
Aquaculture and Fisheries
Immunology
Parasitology
Molecular Genetics and Forensic Science
Economic Zoology
Basic and Applied Entomology
Fish Preservation and Processing
Health and Nutrition
Ecology and Ethology
Laboratory Techniques in Pathology
Bio Entrepreneurship
"
"102","102","University fees : 600.00
Tuition fees : 1050.00
Examination fees : 3550.00
General deposit : 230.00
Student aid fund : 130.00
Gymkhana fund : 420.00
Laboratory pract fee : 2470.00
Library fee : 470.00
Other fee : 420.00
I.T fee : 820.00
Student service charge : 10000.00
IAIMS fees : 225.00

Total : 42500.00
"
"103","103","How to apply: To apply for admission, please visit our college website http://www.chowgules.ac.in/admission/ and complete the online admission form as per instructions provided therein. Contact Person: Mr. Harish Nadkarni, Vice Principal email: hsn001@chowgules.ac.in Documents required: Students are required to bring two photocopies (self-attested) of each of the following documents along with the originals at the time of admission.  a. For Goa Board students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Two photocopies of Leaving Certificate. 3. Two Photographs .  b. For other Board/Universities students: 1. Two photocopies of qualifying examination mark sheets (XIIth). 2. Original as well as two photocopies of Transfer/Leaving certificate. 3. Original as well as two photocopies of Migration certificate. 4. Provisional Eligibility Certificate from Chowgule college. 5. Two Photographs .  c. For International students: International students applying directly for admission need to submit an application to the Principal stating their desire to seek admission along with their Passing Certificate, Transcript of records, copy of syllabus containing details of course of studies pursued in various courses in the examination passed by the applicant (duly countersigned by High Commissioner of India in the country). If the student is found eligible, prima facie letter will be sent to the student for carrying out further necessary formalities. Following documents are required to be submitted: 1. Four photocopies of qualifying examination mark sheets (XIIth). 2. Two Photographs. 3. Two photocopies of Student Visa. 4. Two photocopies of Passport. 5. Original AIDS Test Report. 6. Certificate of proficiency in English. 7. Equivalence Certificate. 8. Resident Permit and ‘C’ Form.  Once the student’s admission is confirmed, he/she is required to attend the Counselling session organized by the faculty of the department, the date of which will be intimated to students by the college authorities. a) The number of seats approved by the appropriate statutory authority in respect of each course or programme of study for the academic year for which admission is proposed to be made is 180 for Arts  b) The conditions of the minimum and maximum age limit of persons for admissions as a student in a particular course or programme of study is 18 years and above  c)The process of selection of eligible candidates applying for such admission: Based on Merit and Personal Counseling and Reservation Policy"
"104","104",
"105","105","MSc in chemistry"
"106","106","University fees : 630.00
Tuition fees : 580.00
Student aid fund : 120.00
Gymkhana fund : 420.00
Laboratory fee : 4000.00
Library fee : 2000.00
Other fee : 420.00
Student activity fee : 420.00
Student service charge : 12000.00


Total : 105176
"
"107","107",
"108","108",
"109","109","MSc in geography"
"110","110","University fees : 630.00
Tuition fees : 5580.00
Student aid fund : 120.00
Gymkhana fund : 420.00
Laboratory fee : 6000.00
Library fee : 2000.00
Other fee : 420.00
Student activity fee : 420.00
Student service charge : 11000.00


Total : 108170.00
"
"111","111",
"112","112",
"113","113","MA in economics "
"114","114","Tuition fees : 47865.00
Student activity fee : 420.00
Gymkhana fund : 420.00
Laboratory fee : 4000.00
Library fee : 2000.00
Other fee : 420.00
Student activity fee : 420.00
Student service charge : 10000.00


Total : 60955.00
"
"115","115",
"116","116",
"117","117","MA in english"
"118","118","Tuition fees : 50000.00
Student activity fee : 420.00
Gymkhana fund : 420.00
Laboratory fee : 4000.00
Library fee : 2000.00
Other fee : 420.00
Student activity fee : 420.00
Student service charge : 10000.00


Total : 63090.00
"
"119","119",
"120","120",
"121","121","MA in physchology"
"122","122","Tuition fees : 32500.00
Student activity fee : 420.00
Gymkhana fund : 420.00
Laboratory fee : 4000.00
Library fee : 2000.00
Other fee : 420.00
Student activity fee : 420.00
Student service charge : 10000.00


Total : 45590.00
"
"123","123",
"124","124",
"125","125","MA in geography"
"126","126","University fee : 630.00
Tuition fees : 35200.00
Student activity fee : 420.00
Gymkhana fund : 420.00
Laboratory fee : 4000.00
Library fee : 2000.00
Other fee : 420.00
Student activity fee : 420.00
Student service charge : 10000.00


Total : 49300.00
"
"127","127",
"128","128",
"129","129","subject details"
"130","130",
"131","131",
"132","132",
"133","133","subject details"
"134","134",
"135","135",
"136","136",
"137","137","subject details"
"138","138",
"139","139",
"140","140",
"141","141","subject details"
"142","142",
"143","143",
"144","144",
